steaming_data,sentiment_score,sentiment
semogaa ga males ajar utbk apalgi pk pm,0.0,Netral
lolos utbk univ yg ku kren,0.0,Netral
cutestkuromi kak dongg kalo iup itb tuh daftar utbk pilih itb yaa,0.0,Netral
ackermaran gmn lg kawaannn gw stress utbk,-0.4215,Negatif
besok uda utbk iiih,0.0,Netral
bilang cantik mbah,0.0,Netral
kiddoist barangkali kaka langgan lc pahamify siap utbk pake kode pfmyfr klik kode yearendsale biar murah k cicil trus cicil cicil pake kode disc pfmyfr murah kak,0.0,Netral
sbmptnfess nder tp plan utbk aja,0.0,Netral
cokk smbp sm utbk udah mata banget nii,0.0,Netral
scentedlilies kafareld ajar guna imbuh spasi ngga nya bener kidz biar pas utbk ntar guna sma ye lu yerimwo kafareld,0.0,Netral
ihugseeuni ajar utbk ngerjain to hbu,0.0,Netral
kek gwe utbk ambil unj dh kg ajg,0.0,Netral
intim rujak kampung mahhhh ntar yg bilang hasil tryout tuh ngga representasi hasil utbk tryoutku utbkku,0.0,Netral
saturnblacc sbmptnfess bisaa kak gabisa ambil stan kalo udah terima snbp udah lolos snbp gaboleh utbk ngambil dinas kecuali stan kalo kakak lulus snbp tp kalo lolos snbt banget ambil stan syarat jg hrs skor utbk,0.0,Netral
jadianime lolos utbk masuk ui dapet beasiswa buka bimbel gratis,0.0516,Positif
buku utbk,0.0,Netral
wkwkk ngetawain kalo pas pandemi pas masamasa to utbk ngomong they hate us just bc orang ambis sayang pahamify libasss eduka libasssss to gue,-0.5719,Negatif
rumah wates,0.0,Netral
bismillah harap lulus ptn fh maba fh ui unair emang rezeki terima snbp harap banget terima jalur utbk aamiin,0.0,Netral
augustcredit iyaaa ituu nyaa just in case naudzubillah ga lolos sekdin udh pegang univ jalur utbk jugaa sii pusing ajar utbk skd nnya duluu,0.0,Netral
gatausilahya makasih,0.0,Netral
dhefoodtech okee siapp,0.0,Netral
convomfs sekolah prik nder kls bagi fokus utbk pagelaran seni,0.0,Netral
convomfs facial woyy,0.0,Netral
jaemrenuna harap unity mnjd semangat ak ak hajar utbk skrng isi markk moga kali ketemu yaa moga member ilichil sehat semuaaa mahae unit sehat sehat ya sayang sayang ilichil sukses dpnya,0.0,Netral
lemonadearchive hi kids this is your onty rich tau laku your mom sma tuh suka tantrum mamah rinanya your mom stress latsol utbk onty your mom suka bahas au homo nak rasain stan homo ya,-0.25,Negatif
ya ga salah mei utbk peluk mama pas malem ga tidur tidur mama,0.0,Netral
gapyear oit sebar materi utbk,0.0,Netral
arinbelajarr ihhh arin liat,0.0,Netral
sulkpy pen buku utbk,0.0,Netral
sdetrck ga utbk dit,0.0,Netral
eh latsol utbk ga yaa digdriveee gt mintaa ngga,0.2732,Positif
littlekanao laku org yg stress utbk emg gitu,-0.4215,Negatif
kyuurash s buku wangsit dh sesuai dgn frame work utbk isi lengkap harga msh promo shopee gt abis order entar kmu bsa mnta bonus resmi nya,0.6808,Positif
h utbk siang ajar ppu fokus bab semantik ketemu bahasa panda seru bgt,0.0,Netral
kaairosclerosis wangsit om jero nder krna dh sesuai frame work utbk wktu order gt abis order lgsg mnta bonus resmi nya trs kasih deh,0.6808,Positif
gw ngitemin rambut utbk kelar utbk lgsg bleach lg,0.0,Netral
jidyapage wangsit om jero dh sesuai frame work utbk isi bsa bimbing lgsg ama om jero btw harga msh promo shopee gt and then abis order bsa mnta bonus resmi nya,0.6808,Positif
helocenr to ku konsisten an tpi kejer ga smpe utbk jdjsmammama,0.0,Netral
bbluwbrry taun gaboleh utbk lg voks nikah,0.0,Netral
lolosbro buku wangsit om jero dh isianudah sesuai frame work utbk order nder gt abis order kmu lgsg mnta bonus resmi nya aja,0.6808,Positif
jenzolxxyuu klo yg udah sesuai dgn frame work utbk bsa akses smua bonus resmi saranin order wangsit om jero gt entar abis order km mnta aja bonus resmi nya,0.8442,Positif
schfess gue prefer wangsit om jero sih dh sesuai dgn frame work utbk bsa akses smua bonus resmi nya wktu order shopee gt,0.6808,Positif
schfess nder kalo takut ga ngerti wangsit takut ga ngerti the king bagi susah the king krn tingkat tinggi drpd utbk asli wangsit utbk emg pas tingkat target,0.0,Netral
jaeremma undipmenfess ganti bapakibumasmbak ya,0.0,Netral
new character yanuar bian pratama lakilaki mengayomj banget aduhh tulang punggung keluarga kalo serius rem bgt boy cowok softie bgt gentle bgt naksir gw caring loyal teman jebak hubung toksik dengen cewek sma kelas bost pusing utbk su,0.8481,Positif
terima itb jalur utbk plis ya allah aamiin,0.0,Netral
harap apa rencana tuhan kuasa apa rencana,0.0,Netral
berani ngambil putus gapyear sii,0.0,Netral
resolusi ajar pk pm kalahin males ibadah ngerjain to maksimal sukses utbk aamiin,0.0,Netral
abis muncak sblm umum utbk maen jogja halbi brg anak insting neng bgt asli pantai jugaa bengong liat ombak crita crita poko neng bangettt,0.0,Netral
falleinflower aamiin bikin jj yaasemangat jg kamuu,0.25,Positif
utbk ngentot,0.0,Netral
gamau daftar swasta mahal bgt yauda bismillah trabas utbk nya tetep tes dinas abis eh haflah jujur sedih pisah sm tmn yg uda bareng bareng tp gapapa poko lega bgt uda lulus esema wkwk taun yah,0.0,Netral
daftar kerja ya,0.0,Netral
barcastuffidn lolos utbk barca menang mulu,0.0,Netral
wkwkw kak semangat ajar utbk nya mabaa biar jj pake almet,0.25,Positif
jeoniehere sbmptnfess hi kasih saran aja jujur kalo luar top sertifnya mentok kota aja berat mending ajar utbk medalis osn nasional ekon seengganya kalo beneran jamin masuk feb ui semangat,0.2023,Positif
pusing ajar utbk pusing mikirin konsep video okk ui,0.0,Netral
gasih gausah sekolah gamau sekolah nya bimbel utbk aja,0.0,Netral
mending nyicil utbk skd dinas skd utbk,0.0,Netral
kalo blm kelas tp nyoba to utbk gitu bs gak sii,0.0,Netral
sbmptnfess les bahasa inggris murah siap utbk yuk cek,0.0,Netral
jam operasional aja udah kacau wkwkwkwk jam udah jalan tuh pas utbk doang sisa,0.0,Netral
pm tps utbk pm bahas pm part tps utbk pm bahas pm part tps utbk pm bahas pm part tps utbk pm bahas pm part,0.0,Netral
niat ajar utbk,0.0,Netral
sbmptnfess les bahasa inggris murah siap utbk,0.0,Netral
jawafess puan maharani,0.0,Netral
cprlian km follownya ugm ganteng yh,0.0,Netral
innalillahi tlah hilang semangat ajar utbk ku,0.0,Netral
marimasjambuu ihhhh yg bilang,0.0,Netral
itzverio klo knp,0.0,Netral
yourenchante sih kenal manggil sayang,0.0,Netral
utbk si,0.0,Netral
pm nalar matematika utbk part nalar matematika utbk part nalar matematika utbk part,0.0,Netral
memorilinae doa smoga hasil baguss,-0.5106,Negatif
promo yuk mantepin siap masuk ptn pake mipy promo laku kode pfmsemangat snbp snbt snmptn sbmptn tryout utbk ltmpt snpmb simak ugm odm undip pk pm les online mipi um ambistwt ambiverse studytwt ambis biru lolos fk ui itb maba,0.0,Netral
guys nyimpen template notion utbk,0.0,Netral
jco fokus utbk,0.0,Netral
ya allah limpah rezeki dpet nilai utbk clorinde pity ijo,-0.296,Negatif
sepele ga banget but gua bangkit karna gua tau larut larut ga bikin gua lulus kuliah sisa utbk minggu umum snbp ajar susah banget tambah puasa gua jg bantu orang tua kerja to aja,0.0,Netral
one of my cousin utbk pilih pacil,0.0,Netral
gua bener bener push gua biar ngerti biar ajar utbk saat gua tau kalo gua udah siswa eligible ya tau jalur sn tuh jalur hoki to yg bikin gua cape gua ga fokus ajar gara gara,0.0,Netral
sbmptnfess gak takut sistem ubah contoh fokus naikin nilai sekolah start ajar utbk tka amp tps masuk kelas tka hapus gagal snbp lulus snbt ub semangat dek,0.0,Netral
arinbelajarr bakar bakar ga,0.0,Netral
pa si anak itb sok ckep utbk lg nih gue daptarnya fsrd aowkwkwk,0.3182,Positif
tryout utbk masukkampus part,0.0,Netral
freecksrain tunggu gang ya,0.0,Netral
plesiohedron koko kmn,0.0,Netral
virgoboys kpn sm ak,0.0,Netral
miamikzr pake pantofel pulang gereja kah,0.0,Netral
urleastfavorit keren,0.0,Netral
schfess coba pelajarin utbk nder kalo ga paham materi ajar materi biar efektif efisien,0.0,Netral
lolos utbk pilih sibuk cari kos sibuk siap pkkmb ketemu temen relasi,0.0,Netral
yallah moga nular nilai utbk kek ginii,0.0,Netral
dapet hadiah umroh ortu khatam hafal pilih ketang orang orang biased krn emang kenal sm satu sekolah utbk ambil unpad lolos skor lebih ekspektasi bgt,-0.2732,Negatif
masuk stan tricky banget karna emang gatau nilai utbk nya brapa karna bru tau stelah umum administrasi tp masuk stis tricky saing provinsi ketat daya tampung nya tp daftar sekian,-0.296,Negatif
ajar siap utbk yg laku,0.0,Netral
ptn mumpung libur sabi baca thread utbk hehe moga semangat kejar kampus impi adikadik semuaa semangat,0.0,Netral
hai juang ptn amp ambis minggu gabut mending buka latih h utbk lho start kejar ptn bareng minse yuk ewallet amp seabank kau hebat paksa amp lewat batas minse,0.0,Netral
guys ken ajar utbk tp bingung mana,0.0,Netral
jidyapage ayo moots juang utbk,0.0,Netral
aaaa bye bye ini makasih udah ngasih memori gayor sekolah ajar utbk bareng lulus utbk susah ospek osfak osjur anniv a year dsb trims sakit dalam moga gada yaa lov,0.0,Netral
unsr ad yg nak utbk lgi dak men iyo pil bljrnyo ckmn,0.0,Netral
sbmptnfess nilai to lu bagus ga jamin nilai utbk lu nder jdi mending klo lu nilai to yg lu keep aja jadi motivasi lu jngn dikit kirim ch bnyk orang yg insecure krn lu,-0.4215,Negatif
jd keinget emu war yg utbk menang si kaya dr manusia,-0.5994,Negatif
jidyapage gausah lomba lomba sel telur mending pakai to utbk mify nilai utbknya masuk sel telur,0.0,Netral
oliver iya banget anjrit pas nonton tuh tina bilang nih orang bau,0.0,Netral
serius lu wkwk utbk,0.0,Netral
sngt super lucuu baikk,0.5994,Positif
paket best seller pahamify prime utbk bayar rb an bebas akses fitur premium mipy siap utbk uji sekolah masukin voc pilihmipi kode referral pfmipy nikmat diskon mipi,0.6369,Positif
price list baru pahamify harga khusus langgan mipy ya kode referral pfmipy promo voc pilihmipi pasti ga lewat sempat promo mipi ya buddies t utbk snbt bimbel ui ugm itb unair uns,0.0,Netral
tutorial pakai promo langgan pahamify voc pilihmipi pfmipy t mipy mipi bimbel online utbk snbt snbp ui ugm unpad unair undip itb ipb,0.0,Netral
new champaign pahamify diskon ratus ribu langgan pahamify ya kode referral pfmipy promo voc pilihmipi pasti ga lewat sempat ya buddies t utbk snbt bimbel ui ugm itb unair uns,0.0516,Positif
pliss jngn burn out kalo ngeliat to orang aja sampe cuman to,0.0,Netral
sbmptnfess nder bersit niat flexing hatihati ya temen top scorer mipy pas utbk nt milih steik btw hehe tunggu yak steik semangattt,0.2023,Positif
sbmptnfess kalo cmn skor to ga aman si nder soale yg lolos ngganya skor utbk,0.0,Netral
wkwkwkkw keinget memetweets lupa pas ajar utbk zaman zigot,0.0,Netral
renhoony abis utbk,0.0,Netral
jnocloud reyy mundur dikit reyy jauh kalo lu skip kah,0.0,Netral
tp utbk,0.0,Netral
sewips utbk essai jir tai tai semangat juang utbk,0.0,Netral
sbmptnfess ak to mipy kek ga aman deh tulis gilir utbk nilai lebi rendah dri to nampaknya golong nilai aman,0.0,Netral
maupindahjogja aamiin bngt makasihh,0.0,Netral
duh besok udh fokus utbk gak drakoran,0.0,Netral
uisoontobe hehehee thankyouuu firaa to nya utbk masuk kampus yaa,0.0,Netral
lumayan bangga nilai lbi pas utbk dapet an,0.0,Netral
