full_text,cleaning,case_folding,tokenize,filtering/stopword removal,steaming_data
@bokovoiglaz bjirs belom hari ini,bokovoiglaz bjirs belom hari ini,bokovoiglaz bjirs belom hari ini,"['bokovoiglaz', 'bjirs', 'belom', 'hari', 'ini']","['bokovoiglaz', 'bjirs', 'belom']",bokovoiglaz bjirs bom
@telorsoel I think it's part of their grieving process (in this case belum keterima iisma) and it's find n quite normal imo kalau di-keep sendiri aja. TAPI kalau dibawa ke base gini yg ada malah mancing ribut daripada dapat simpati pemilihan media dan caranya aja yg kurang tepat,telorsoel I think its part of their grieving process in this case belum keterima iisma and its find n quite normal imo kalau dikeep sendiri aja TAPI kalau dibawa ke base gini yg ada malah mancing ribut daripada dapat simpati pemilihan media dan caranya aja yg kurang tepat,telorsoel i think its part of their grieving process in this case belum keterima iisma and its find n quite normal imo kalau dikeep sendiri aja tapi kalau dibawa ke base gini yg ada malah mancing ribut daripada dapat simpati pemilihan media dan caranya aja yg kurang tepat,"['telorsoel', 'i', 'think', 'its', 'part', 'of', 'their', 'grieving', 'process', 'in', 'this', 'case', 'belum', 'keterima', 'iisma', 'and', 'its', 'find', 'n', 'quite', 'normal', 'imo', 'kalau', 'dikeep', 'sendiri', 'aja', 'tapi', 'kalau', 'dibawa', 'ke', 'base', 'gini', 'yg', 'ada', 'malah', 'mancing', 'ribut', 'daripada', 'dapat', 'simpati', 'pemilihan', 'media', 'dan', 'caranya', 'aja', 'yg', 'kurang', 'tepat']","['telorsoel', 'i', 'think', 'its', 'part', 'of', 'their', 'grieving', 'process', 'in', 'this', 'case', 'keterima', 'iisma', 'and', 'its', 'find', 'n', 'quite', 'normal', 'imo', 'dikeep', 'aja', 'dibawa', 'base', 'gini', 'yg', 'mancing', 'ribut', 'simpati', 'pemilihan', 'media', 'aja', 'yg']",telorsoel i think its part of their grieving process in this case terima iisma and its find n quite normal imo dikeep aja bawa base gin yg mancing ribut simpati pilih media aja yg
sesaat setelah daftar iisma aku udah ada what ny older bro would call deal-dealan politik sama ketua dpm :^) jadi doaku cuma satu kasih tunjuk mana yang bakal jadi jalanku. ternyata ya jalannya buat mengawal regenerasi organisasi yg berani kubilang baru revive periode ini.,sesaat setelah daftar iisma aku udah ada what ny older bro would call dealdealan politik sama ketua dpm  jadi doaku cuma satu kasih tunjuk mana yang bakal jadi jalanku ternyata ya jalannya buat mengawal regenerasi organisasi yg berani kubilang baru revive periode ini,sesaat setelah daftar iisma aku udah ada what ny older bro would call dealdealan politik sama ketua dpm  jadi doaku cuma satu kasih tunjuk mana yang bakal jadi jalanku ternyata ya jalannya buat mengawal regenerasi organisasi yg berani kubilang baru revive periode ini,"['sesaat', 'setelah', 'daftar', 'iisma', 'aku', 'udah', 'ada', 'what', 'ny', 'older', 'bro', 'would', 'call', 'dealdealan', 'politik', 'sama', 'ketua', 'dpm', 'jadi', 'doaku', 'cuma', 'satu', 'kasih', 'tunjuk', 'mana', 'yang', 'bakal', 'jadi', 'jalanku', 'ternyata', 'ya', 'jalannya', 'buat', 'mengawal', 'regenerasi', 'organisasi', 'yg', 'berani', 'kubilang', 'baru', 'revive', 'periode', 'ini']","['daftar', 'iisma', 'udah', 'what', 'ny', 'older', 'bro', 'would', 'call', 'dealdealan', 'politik', 'ketua', 'dpm', 'doaku', 'kasih', 'jalanku', 'ya', 'jalannya', 'mengawal', 'regenerasi', 'organisasi', 'yg', 'berani', 'kubilang', 'revive', 'periode']",daftar iisma udah what ny older bro would call dealdealan politik ketua dpm doa kasih jalan ya jalan awal regenerasi organisasi yg berani bilang revive periode
@sepertigaons AWAOWKKWKWKW,sepertigaons AWAOWKKWKWKW,sepertigaons awaowkkwkwkw,"['sepertigaons', 'awaowkkwkwkw']","['sepertigaons', 'awaowkkwkwkw']",sepertigaons awaowkkwkwkw
yang bilang pendanaan dari kampus buat cofunding sepertinya tidak bisa di kampus sender. iisma! ada kesempatan lain apa ya selain iisma capek ditolak mulu,yang bilang pendanaan dari kampus buat cofunding sepertinya tidak bisa di kampus sender iisma ada kesempatan lain apa ya selain iisma capek ditolak mulu,yang bilang pendanaan dari kampus buat cofunding sepertinya tidak bisa di kampus sender iisma ada kesempatan lain apa ya selain iisma capek ditolak mulu,"['yang', 'bilang', 'pendanaan', 'dari', 'kampus', 'buat', 'cofunding', 'sepertinya', 'tidak', 'bisa', 'di', 'kampus', 'sender', 'iisma', 'ada', 'kesempatan', 'lain', 'apa', 'ya', 'selain', 'iisma', 'capek', 'ditolak', 'mulu']","['bilang', 'pendanaan', 'kampus', 'cofunding', 'kampus', 'sender', 'iisma', 'kesempatan', 'ya', 'iisma', 'capek', 'ditolak', 'mulu']",bilang dana kampus cofunding kampus sender iisma sempat ya iisma capek tolak mulu
@IISMAfess ikuttt,IISMAfess ikuttt,iismafess ikuttt,"['iismafess', 'ikuttt']","['iismafess', 'ikuttt']",iismafess ikuttt
@frisianredflag Jgn sampe nyesel ya apii banyak temenku nyesel masuk uin krn hal ini. Gabisa ikut iisma msib kampus mengajar pertukaran mahasiswa,frisianredflag Jgn sampe nyesel ya apii banyak temenku nyesel masuk uin krn hal ini Gabisa ikut iisma msib kampus mengajar pertukaran mahasiswa,frisianredflag jgn sampe nyesel ya apii banyak temenku nyesel masuk uin krn hal ini gabisa ikut iisma msib kampus mengajar pertukaran mahasiswa,"['frisianredflag', 'jgn', 'sampe', 'nyesel', 'ya', 'apii', 'banyak', 'temenku', 'nyesel', 'masuk', 'uin', 'krn', 'hal', 'ini', 'gabisa', 'ikut', 'iisma', 'msib', 'kampus', 'mengajar', 'pertukaran', 'mahasiswa']","['frisianredflag', 'jgn', 'sampe', 'nyesel', 'ya', 'apii', 'temenku', 'nyesel', 'masuk', 'uin', 'krn', 'gabisa', 'iisma', 'msib', 'kampus', 'mengajar', 'pertukaran', 'mahasiswa']",frisianredflag jgn sampe nyesel ya api temenku nyesel masuk uin krn gabisa iisma msib kampus ajar tukar mahasiswa
@jaaaahraaa YOI SIST,jaaaahraaa YOI SIST,jaaaahraaa yoi sist,"['jaaaahraaa', 'yoi', 'sist']","['jaaaahraaa', 'yoi', 'sist']",jaaaahraaa yoi sist
IISMA! Gaesss yang mau ikut cofoundd buat grup yukk!!! biar semangatin dan sharing info,IISMA Gaesss yang mau ikut cofoundd buat grup yukk biar semangatin dan sharing info,iisma gaesss yang mau ikut cofoundd buat grup yukk biar semangatin dan sharing info,"['iisma', 'gaesss', 'yang', 'mau', 'ikut', 'cofoundd', 'buat', 'grup', 'yukk', 'biar', 'semangatin', 'dan', 'sharing', 'info']","['iisma', 'gaesss', 'cofoundd', 'grup', 'yukk', 'biar', 'semangatin', 'sharing', 'info']",iisma gaesss cofoundd grup yukk biar semangatin sharing info
@IISMAfess temenan dong yg mau cofoundd buat grup klo bisaaa,IISMAfess temenan dong yg mau cofoundd buat grup klo bisaaa,iismafess temenan dong yg mau cofoundd buat grup klo bisaaa,"['iismafess', 'temenan', 'dong', 'yg', 'mau', 'cofoundd', 'buat', 'grup', 'klo', 'bisaaa']","['iismafess', 'temenan', 'yg', 'cofoundd', 'grup', 'klo', 'bisaaa']",iismafess temenan yg cofoundd grup klo bisaaa
@kalahkulus IH MAUU,kalahkulus IH MAUU,kalahkulus ih mauu,"['kalahkulus', 'ih', 'mauu']","['kalahkulus', 'ih', 'mauu']",kalahkulus ih mauu
@pompomfess Lumayanlah buat simpenan aven https://t.co/hzDzfn77aM,pompomfess Lumayanlah buat simpenan aven ,pompomfess lumayanlah buat simpenan aven ,"['pompomfess', 'lumayanlah', 'buat', 'simpenan', 'aven']","['pompomfess', 'lumayanlah', 'simpenan', 'aven']",pompomfess lumayan simpenan aven
@avrch1ves WKWK RILL LUCU BINGBING KITA,avrchves WKWK RILL LUCU BINGBING KITA,avrchves wkwk rill lucu bingbing kita,"['avrchves', 'wkwk', 'rill', 'lucu', 'bingbing', 'kita']","['avrchves', 'wkwk', 'rill', 'lucu', 'bingbing']",avrchves wkwk rill lucu bingbing
@imfckinclueless @IISMAfess halo ka chel maaf aku boleh dm untuk tanya2 seputar iisma ka? tysm kaa,imfckinclueless IISMAfess halo ka chel maaf aku boleh dm untuk tanya seputar iisma ka tysm kaa,imfckinclueless iismafess halo ka chel maaf aku boleh dm untuk tanya seputar iisma ka tysm kaa,"['imfckinclueless', 'iismafess', 'halo', 'ka', 'chel', 'maaf', 'aku', 'boleh', 'dm', 'untuk', 'tanya', 'seputar', 'iisma', 'ka', 'tysm', 'kaa']","['imfckinclueless', 'iismafess', 'halo', 'ka', 'chel', 'maaf', 'dm', 'seputar', 'iisma', 'ka', 'tysm', 'kaa']",imfckinclueless iismafess halo ka chel maaf dm putar iisma ka tysm kaa
@louderthanbams bisa,louderthanbams bisa,louderthanbams bisa,"['louderthanbams', 'bisa']",['louderthanbams'],louderthanbams
udah sih anjir tinggal terima aja keputusan yg iisma buat? mungkin km punya clear visions tp daya tampungnya cuma 5 orang dan ada 5 orang yang lebih wow dari km. we re tryin to move on here at least km jg coba utk legowo ,udah sih anjir tinggal terima aja keputusan yg iisma buat mungkin km punya clear visions tp daya tampungnya cuma  orang dan ada  orang yang lebih wow dari km we re tryin to move on here at least km jg coba utk legowo ,udah sih anjir tinggal terima aja keputusan yg iisma buat mungkin km punya clear visions tp daya tampungnya cuma  orang dan ada  orang yang lebih wow dari km we re tryin to move on here at least km jg coba utk legowo ,"['udah', 'sih', 'anjir', 'tinggal', 'terima', 'aja', 'keputusan', 'yg', 'iisma', 'buat', 'mungkin', 'km', 'punya', 'clear', 'visions', 'tp', 'daya', 'tampungnya', 'cuma', 'orang', 'dan', 'ada', 'orang', 'yang', 'lebih', 'wow', 'dari', 'km', 'we', 're', 'tryin', 'to', 'move', 'on', 'here', 'at', 'least', 'km', 'jg', 'coba', 'utk', 'legowo']","['udah', 'sih', 'anjir', 'tinggal', 'terima', 'aja', 'keputusan', 'yg', 'iisma', 'km', 'clear', 'visions', 'tp', 'daya', 'tampungnya', 'orang', 'orang', 'wow', 'km', 'we', 're', 'tryin', 'to', 'move', 'on', 'here', 'at', 'least', 'km', 'jg', 'coba', 'utk', 'legowo']",udah sih anjir tinggal terima aja putus yg iisma km clear visions tp daya tampung orang orang wow km we re tryin to move on here at least km jg coba utk legowo
@oneand0nlyjnsuh banyak testimoni jugaa ada yang lolos IISMA jugaa ada akun twtnyaa banyak banget testimoninya kalo mau tanya tanya bolee yaa,oneandnlyjnsuh banyak testimoni jugaa ada yang lolos IISMA jugaa ada akun twtnyaa banyak banget testimoninya kalo mau tanya tanya bolee yaa,oneandnlyjnsuh banyak testimoni jugaa ada yang lolos iisma jugaa ada akun twtnyaa banyak banget testimoninya kalo mau tanya tanya bolee yaa,"['oneandnlyjnsuh', 'banyak', 'testimoni', 'jugaa', 'ada', 'yang', 'lolos', 'iisma', 'jugaa', 'ada', 'akun', 'twtnyaa', 'banyak', 'banget', 'testimoninya', 'kalo', 'mau', 'tanya', 'tanya', 'bolee', 'yaa']","['oneandnlyjnsuh', 'testimoni', 'jugaa', 'lolos', 'iisma', 'jugaa', 'akun', 'twtnyaa', 'banget', 'testimoninya', 'kalo', 'bolee', 'yaa']",oneandnlyjnsuh testimoni jugaa lolos iisma jugaa akun twtnyaa banget testimoninya kalo bolee yaa
IISMA TOLONG SEDIAKAN SISTEM PENGADUAN YANG BAIK BUAT GINIAN PLEASE.,IISMA TOLONG SEDIAKAN SISTEM PENGADUAN YANG BAIK BUAT GINIAN PLEASE,iisma tolong sediakan sistem pengaduan yang baik buat ginian please,"['iisma', 'tolong', 'sediakan', 'sistem', 'pengaduan', 'yang', 'baik', 'buat', 'ginian', 'please']","['iisma', 'tolong', 'sediakan', 'sistem', 'pengaduan', 'ginian', 'please']",iisma tolong sedia sistem adu ginian please
banjir air mata,banjir air mata,banjir air mata,"['banjir', 'air', 'mata']","['banjir', 'air', 'mata']",banjir air mata
@seabloe @IISMAfess aku pas baca ini daritadi masih bertanya-tanya soalnya bikin heran,seabloe IISMAfess aku pas baca ini daritadi masih bertanyatanya soalnya bikin heran,seabloe iismafess aku pas baca ini daritadi masih bertanyatanya soalnya bikin heran,"['seabloe', 'iismafess', 'aku', 'pas', 'baca', 'ini', 'daritadi', 'masih', 'bertanyatanya', 'soalnya', 'bikin', 'heran']","['seabloe', 'iismafess', 'pas', 'baca', 'daritadi', 'bertanyatanya', 'bikin', 'heran']",seabloe iismafess pas baca daritadi bertanyatanya bikin heran
semoga aku bisa waras menghadapi smt 6 project kp dan pre departure prep iisma,semoga aku bisa waras menghadapi smt  project kp dan pre departure prep iisma,semoga aku bisa waras menghadapi smt  project kp dan pre departure prep iisma,"['semoga', 'aku', 'bisa', 'waras', 'menghadapi', 'smt', 'project', 'kp', 'dan', 'pre', 'departure', 'prep', 'iisma']","['semoga', 'waras', 'menghadapi', 'smt', 'project', 'kp', 'pre', 'departure', 'prep', 'iisma']",moga waras hadap smt project kp pre departure prep iisma
[MEDPAR DINAMIKA] Assalamu'alaikum Warahmatullahi Wabarakatuh Halo Semuanya Pengen coba belajar ke luar negeri tapi belum tau MOSMA? Mirip-mirip dengan IISMA? Untuk kalian mahasiswa PTKIN nih wajib banget tahu program dari KEMENAG yang satu ini. https://t.co/Bj8z7VFFSp,MEDPAR DINAMIKA Assalamualaikum Warahmatullahi Wabarakatuh Halo Semuanya Pengen coba belajar ke luar negeri tapi belum tau MOSMA Miripmirip dengan IISMA Untuk kalian mahasiswa PTKIN nih wajib banget tahu program dari KEMENAG yang satu ini ,medpar dinamika assalamualaikum warahmatullahi wabarakatuh halo semuanya pengen coba belajar ke luar negeri tapi belum tau mosma miripmirip dengan iisma untuk kalian mahasiswa ptkin nih wajib banget tahu program dari kemenag yang satu ini ,"['medpar', 'dinamika', 'assalamualaikum', 'warahmatullahi', 'wabarakatuh', 'halo', 'semuanya', 'pengen', 'coba', 'belajar', 'ke', 'luar', 'negeri', 'tapi', 'belum', 'tau', 'mosma', 'miripmirip', 'dengan', 'iisma', 'untuk', 'kalian', 'mahasiswa', 'ptkin', 'nih', 'wajib', 'banget', 'tahu', 'program', 'dari', 'kemenag', 'yang', 'satu', 'ini']","['medpar', 'dinamika', 'assalamualaikum', 'warahmatullahi', 'wabarakatuh', 'halo', 'pengen', 'coba', 'belajar', 'negeri', 'tau', 'mosma', 'miripmirip', 'iisma', 'mahasiswa', 'ptkin', 'nih', 'wajib', 'banget', 'program', 'kemenag']",medpar dinamika assalamualaikum warahmatullahi wabarakatuh halo ken coba ajar negeri tau mosma miripmirip iisma mahasiswa ptkin nih wajib banget program kemenag
@cursingname kok org kyk gitu bisa lolos ya sedangkan orang kyk kamu sama hizu malah ga lolos heran...,cursingname kok org kyk gitu bisa lolos ya sedangkan orang kyk kamu sama hizu malah ga lolos heran,cursingname kok org kyk gitu bisa lolos ya sedangkan orang kyk kamu sama hizu malah ga lolos heran,"['cursingname', 'kok', 'org', 'kyk', 'gitu', 'bisa', 'lolos', 'ya', 'sedangkan', 'orang', 'kyk', 'kamu', 'sama', 'hizu', 'malah', 'ga', 'lolos', 'heran']","['cursingname', 'org', 'kyk', 'gitu', 'lolos', 'ya', 'orang', 'kyk', 'hizu', 'ga', 'lolos', 'heran']",cursingname org kyk gitu lolos ya orang kyk hizu ga lolos heran
hah gue mimpi gue dapet IISMA di OZ...,hah gue mimpi gue dapet IISMA di OZ,hah gue mimpi gue dapet iisma di oz,"['hah', 'gue', 'mimpi', 'gue', 'dapet', 'iisma', 'di', 'oz']","['hah', 'gue', 'mimpi', 'gue', 'dapet', 'iisma', 'oz']",hah gue mimpi gue dapet iisma oz
kamu klo aku jelek bakal terima gak? lu mau sejelek apelagi monyed,kamu klo aku jelek bakal terima gak lu mau sejelek apelagi monyed,kamu klo aku jelek bakal terima gak lu mau sejelek apelagi monyed,"['kamu', 'klo', 'aku', 'jelek', 'bakal', 'terima', 'gak', 'lu', 'mau', 'sejelek', 'apelagi', 'monyed']","['klo', 'jelek', 'terima', 'gak', 'lu', 'sejelek', 'apelagi', 'monyed']",klo jelek terima gak lu jelek apelagi monyed
@cursingname Iisma itu plus nya apa ya kak? Makin kesini kok kayak khusus buat yg punya ordal aja(?),cursingname Iisma itu plus nya apa ya kak Makin kesini kok kayak khusus buat yg punya ordal aja,cursingname iisma itu plus nya apa ya kak makin kesini kok kayak khusus buat yg punya ordal aja,"['cursingname', 'iisma', 'itu', 'plus', 'nya', 'apa', 'ya', 'kak', 'makin', 'kesini', 'kok', 'kayak', 'khusus', 'buat', 'yg', 'punya', 'ordal', 'aja']","['cursingname', 'iisma', 'plus', 'nya', 'ya', 'kak', 'kesini', 'kayak', 'khusus', 'yg', 'ordal', 'aja']",cursingname iisma plus nya ya kak kesini kayak khusus yg ordal aja
@IISMAfess &gt; meanwhile b pilih host uni yang mungkin less competitive dan essay dia achievements dia sangat qualified dan bisa menutupi kekurangan di interview dia. You can conclude it by yourself Don't compare things you don't exactly know :)) IISMA tidak menilai dari 1 parameter saja,IISMAfess gt meanwhile b pilih host uni yang mungkin less competitive dan essay dia achievements dia sangat qualified dan bisa menutupi kekurangan di interview dia You can conclude it by yourself Dont compare things you dont exactly know  IISMA tidak menilai dari  parameter saja,iismafess gt meanwhile b pilih host uni yang mungkin less competitive dan essay dia achievements dia sangat qualified dan bisa menutupi kekurangan di interview dia you can conclude it by yourself dont compare things you dont exactly know  iisma tidak menilai dari  parameter saja,"['iismafess', 'gt', 'meanwhile', 'b', 'pilih', 'host', 'uni', 'yang', 'mungkin', 'less', 'competitive', 'dan', 'essay', 'dia', 'achievements', 'dia', 'sangat', 'qualified', 'dan', 'bisa', 'menutupi', 'kekurangan', 'di', 'interview', 'dia', 'you', 'can', 'conclude', 'it', 'by', 'yourself', 'dont', 'compare', 'things', 'you', 'dont', 'exactly', 'know', 'iisma', 'tidak', 'menilai', 'dari', 'parameter', 'saja']","['iismafess', 'gt', 'meanwhile', 'b', 'pilih', 'host', 'uni', 'less', 'competitive', 'essay', 'achievements', 'qualified', 'menutupi', 'kekurangan', 'interview', 'you', 'can', 'conclude', 'it', 'by', 'yourself', 'dont', 'compare', 'things', 'you', 'dont', 'exactly', 'know', 'iisma', 'menilai', 'parameter']",iismafess gt meanwhile b pilih host uni less competitive essay achievements qualified tutup kurang interview you can conclude it by yourself dont compare things you dont exactly know iisma nilai parameter
DOSEN ANNOUNCE RESEARCH PROJECTTT DAN TOPICNYA KYKNYA SERUUUU tp gw udh iisma mending buat tmnku yang mau EP di itril,DOSEN ANNOUNCE RESEARCH PROJECTTT DAN TOPICNYA KYKNYA SERUUUU tp gw udh iisma mending buat tmnku yang mau EP di itril,dosen announce research projecttt dan topicnya kyknya seruuuu tp gw udh iisma mending buat tmnku yang mau ep di itril,"['dosen', 'announce', 'research', 'projecttt', 'dan', 'topicnya', 'kyknya', 'seruuuu', 'tp', 'gw', 'udh', 'iisma', 'mending', 'buat', 'tmnku', 'yang', 'mau', 'ep', 'di', 'itril']","['dosen', 'announce', 'research', 'projecttt', 'topicnya', 'kyknya', 'seruuuu', 'tp', 'gw', 'udh', 'iisma', 'mending', 'tmnku', 'ep', 'itril']",dosen announce research projecttt topicnya kyknya seruuuu tp gw udh iisma mending tmnku ep itril
demi allah kagak respect bgt buat orang-orang yg kek begini ada orang yang mati-matian nge-konstruk Essay tapi tetep ga lulus iisma (aku even ke tahap itv pun tidak ) tapi yang kepilih jadi ewordi iisma malah buat Essay cuma asal copy punya orang doang SPILL THE TEA DONG! ,demi allah kagak respect bgt buat orangorang yg kek begini ada orang yang matimatian ngekonstruk Essay tapi tetep ga lulus iisma aku even ke tahap itv pun tidak  tapi yang kepilih jadi ewordi iisma malah buat Essay cuma asal copy punya orang doang SPILL THE TEA DONG ,demi allah kagak respect bgt buat orangorang yg kek begini ada orang yang matimatian ngekonstruk essay tapi tetep ga lulus iisma aku even ke tahap itv pun tidak  tapi yang kepilih jadi ewordi iisma malah buat essay cuma asal copy punya orang doang spill the tea dong ,"['demi', 'allah', 'kagak', 'respect', 'bgt', 'buat', 'orangorang', 'yg', 'kek', 'begini', 'ada', 'orang', 'yang', 'matimatian', 'ngekonstruk', 'essay', 'tapi', 'tetep', 'ga', 'lulus', 'iisma', 'aku', 'even', 'ke', 'tahap', 'itv', 'pun', 'tidak', 'tapi', 'yang', 'kepilih', 'jadi', 'ewordi', 'iisma', 'malah', 'buat', 'essay', 'cuma', 'asal', 'copy', 'punya', 'orang', 'doang', 'spill', 'the', 'tea', 'dong']","['allah', 'kagak', 'respect', 'bgt', 'orangorang', 'yg', 'kek', 'orang', 'matimatian', 'ngekonstruk', 'essay', 'tetep', 'ga', 'lulus', 'iisma', 'even', 'tahap', 'itv', 'kepilih', 'ewordi', 'iisma', 'essay', 'copy', 'orang', 'doang', 'spill', 'the', 'tea']",allah kagak respect bgt orangorang yg kek orang matimatian ngekonstruk essay tetep ga lulus iisma even tahap itv pilih ewordi iisma essay copy orang doang spill the tea
Dear IISMA! awardees co-funding syarat pas apply nnt itu udh harus nyertain berkas kayak skck gitu kah? Btw itu pembuatannya berapa hari ya? Tia^^,Dear IISMA awardees cofunding syarat pas apply nnt itu udh harus nyertain berkas kayak skck gitu kah Btw itu pembuatannya berapa hari ya Tia,dear iisma awardees cofunding syarat pas apply nnt itu udh harus nyertain berkas kayak skck gitu kah btw itu pembuatannya berapa hari ya tia,"['dear', 'iisma', 'awardees', 'cofunding', 'syarat', 'pas', 'apply', 'nnt', 'itu', 'udh', 'harus', 'nyertain', 'berkas', 'kayak', 'skck', 'gitu', 'kah', 'btw', 'itu', 'pembuatannya', 'berapa', 'hari', 'ya', 'tia']","['dear', 'iisma', 'awardees', 'cofunding', 'syarat', 'pas', 'apply', 'nnt', 'udh', 'nyertain', 'berkas', 'kayak', 'skck', 'gitu', 'kah', 'btw', 'pembuatannya', 'ya', 'tia']",dear iisma awardees cofunding syarat pas apply nnt udh nyertain berkas kayak skck gitu kah btw buat ya tia
shock kalo lu masuk fapsi,shock kalo lu masuk fapsi,shock kalo lu masuk fapsi,"['shock', 'kalo', 'lu', 'masuk', 'fapsi']","['shock', 'kalo', 'lu', 'masuk', 'fapsi']",shock kalo lu masuk fapsi
@khthoughts_ tiba-tiba next year dpt iisma sampe ke rusia,khthoughts tibatiba next year dpt iisma sampe ke rusia,khthoughts tibatiba next year dpt iisma sampe ke rusia,"['khthoughts', 'tibatiba', 'next', 'year', 'dpt', 'iisma', 'sampe', 'ke', 'rusia']","['khthoughts', 'tibatiba', 'next', 'year', 'dpt', 'iisma', 'sampe', 'rusia']",khthoughts tibatiba next year dpt iisma sampe rusia
@granolish Mau bgt ka iisma di situ,granolish Mau bgt ka iisma di situ,granolish mau bgt ka iisma di situ,"['granolish', 'mau', 'bgt', 'ka', 'iisma', 'di', 'situ']","['granolish', 'bgt', 'ka', 'iisma', 'situ']",granolish bgt ka iisma situ
otak! kalian harus tau aku kmrn aja sempet tbtb jatuh hati sama salah 1 kating kedokteran (satu fakultas) yg lulus iisma ketemu aja ga pernah cmn liat foto dia di ig. pernah suka mapres univ yg kedokteran jg padahal ga pernah ketemu. intinya yg otaknya encer tu menawan hati,otak kalian harus tau aku kmrn aja sempet tbtb jatuh hati sama salah  kating kedokteran satu fakultas yg lulus iisma ketemu aja ga pernah cmn liat foto dia di ig pernah suka mapres univ yg kedokteran jg padahal ga pernah ketemu intinya yg otaknya encer tu menawan hati,otak kalian harus tau aku kmrn aja sempet tbtb jatuh hati sama salah  kating kedokteran satu fakultas yg lulus iisma ketemu aja ga pernah cmn liat foto dia di ig pernah suka mapres univ yg kedokteran jg padahal ga pernah ketemu intinya yg otaknya encer tu menawan hati,"['otak', 'kalian', 'harus', 'tau', 'aku', 'kmrn', 'aja', 'sempet', 'tbtb', 'jatuh', 'hati', 'sama', 'salah', 'kating', 'kedokteran', 'satu', 'fakultas', 'yg', 'lulus', 'iisma', 'ketemu', 'aja', 'ga', 'pernah', 'cmn', 'liat', 'foto', 'dia', 'di', 'ig', 'pernah', 'suka', 'mapres', 'univ', 'yg', 'kedokteran', 'jg', 'padahal', 'ga', 'pernah', 'ketemu', 'intinya', 'yg', 'otaknya', 'encer', 'tu', 'menawan', 'hati']","['otak', 'tau', 'kmrn', 'aja', 'sempet', 'tbtb', 'jatuh', 'hati', 'salah', 'kating', 'kedokteran', 'fakultas', 'yg', 'lulus', 'iisma', 'ketemu', 'aja', 'ga', 'cmn', 'liat', 'foto', 'ig', 'suka', 'mapres', 'univ', 'yg', 'kedokteran', 'jg', 'ga', 'ketemu', 'intinya', 'yg', 'otaknya', 'encer', 'tu', 'menawan', 'hati']",otak tau kmrn aja sempet tbtb jatuh hati salah kating dokter fakultas yg lulus iisma ketemu aja ga cmn liat foto ig suka mapres univ yg dokter jg ga ketemu inti yg otak encer tu tawan hati
MAHIR TOEFL DARI BASIC AUTO 500+ Free 2× TOEFL Prediction sharing beasiswa recording kelas 20× Meetings + e-certif More info: DM #TOEFL #IELTS #lestoefl #lesbahasainggris #kursusbahasainggris #LPDP #kursustoefl #CPNS #IISMA #BUMN #les #kursus #Scholarship #testtoefl https://t.co/wwyEr53Aat,MAHIR TOEFL DARI BASIC AUTO  Free  TOEFL Prediction sharing beasiswa recording kelas  Meetings  ecertif More info DM TOEFL IELTS lestoefl lesbahasainggris kursusbahasainggris LPDP kursustoefl CPNS IISMA BUMN les kursus Scholarship testtoefl ,mahir toefl dari basic auto  free  toefl prediction sharing beasiswa recording kelas  meetings  ecertif more info dm toefl ielts lestoefl lesbahasainggris kursusbahasainggris lpdp kursustoefl cpns iisma bumn les kursus scholarship testtoefl ,"['mahir', 'toefl', 'dari', 'basic', 'auto', 'free', 'toefl', 'prediction', 'sharing', 'beasiswa', 'recording', 'kelas', 'meetings', 'ecertif', 'more', 'info', 'dm', 'toefl', 'ielts', 'lestoefl', 'lesbahasainggris', 'kursusbahasainggris', 'lpdp', 'kursustoefl', 'cpns', 'iisma', 'bumn', 'les', 'kursus', 'scholarship', 'testtoefl']","['mahir', 'toefl', 'basic', 'auto', 'free', 'toefl', 'prediction', 'sharing', 'beasiswa', 'recording', 'kelas', 'meetings', 'ecertif', 'more', 'info', 'dm', 'toefl', 'ielts', 'lestoefl', 'lesbahasainggris', 'kursusbahasainggris', 'lpdp', 'kursustoefl', 'cpns', 'iisma', 'bumn', 'les', 'kursus', 'scholarship', 'testtoefl']",mahir toefl basic auto free toefl prediction sharing beasiswa recording kelas meetings ecertif more info dm toefl ielts lestoefl lesbahasainggris kursusbahasainggris lpdp kursustoefl cpns iisma bumn les kursus scholarship testtoefl
@IISMAfess satu setengah jam,IISMAfess satu setengah jam,iismafess satu setengah jam,"['iismafess', 'satu', 'setengah', 'jam']","['iismafess', 'jam']",iismafess jam
Dia lolos IISMA ucapin selamat kali ya?? Tp takut ganggu dia hm....,Dia lolos IISMA ucapin selamat kali ya Tp takut ganggu dia hm,dia lolos iisma ucapin selamat kali ya tp takut ganggu dia hm,"['dia', 'lolos', 'iisma', 'ucapin', 'selamat', 'kali', 'ya', 'tp', 'takut', 'ganggu', 'dia', 'hm']","['lolos', 'iisma', 'ucapin', 'selamat', 'kali', 'ya', 'tp', 'takut', 'ganggu', 'hm']",lolos iisma ucapin selamat kali ya tp takut ganggu hm
@pancake_dome EH LITHUANIA ADA GA YA :(((,pancakedome EH LITHUANIA ADA GA YA ,pancakedome eh lithuania ada ga ya ,"['pancakedome', 'eh', 'lithuania', 'ada', 'ga', 'ya']","['pancakedome', 'eh', 'lithuania', 'ga', 'ya']",pancakedome eh lithuania ga ya
